workerid,proliferate.condition,ai,human,text,time,trial,error
1776,condition 1,0,59,,12158,10,
1776,condition 1,65,33,,9574,16,
1776,condition 1,0,100,,23430,12,
1786,condition 1,23,77,,14919,0,
1786,condition 1,23,81,,11993,0,
1786,condition 1,88,51,,5999,13,
1786,condition 1,28,63,,4352,16,
1786,condition 1,51,50,,6161,2,
1786,condition 1,7,99,,4169,6,
1786,condition 1,85,47,,6272,1,
1786,condition 1,19,18,,4506,7,
1786,condition 1,22,20,,4442,14,
1786,condition 1,73,48,,5847,15,
1786,condition 1,2,1,,3576,10,
1786,condition 1,12,13,,3240,8,
1786,condition 1,21,22,,5424,11,
1786,condition 1,92,15,,3682,3,
1786,condition 1,1,96,,3781,9,
1786,condition 1,4,5,,4528,12,
1786,condition 1,48,47,,4862,4,
1786,condition 1,53,51,,7158,5,
1817,condition 1,2,100,,13239,0,
1817,condition 1,1,99,,16298,5,
1817,condition 1,1,100,,31759,11,
1817,condition 1,98,0,,25579,14,
1817,condition 1,98,1,,11259,4,
1817,condition 1,0,100,,13863,12,
1817,condition 1,99,99,,14270,1,
1817,condition 1,100,1,,6521,3,
1817,condition 1,1,100,,6273,7,
1817,condition 1,100,0,,9941,15,
1817,condition 1,100,1,,5875,13,
1817,condition 1,0,1,,7306,6,
1817,condition 1,1,100,,5525,8,
1817,condition 1,100,99,,10628,2,
1817,condition 1,0,1,,7077,10,
1817,condition 1,99,1,,5408,16,
1817,condition 1,1,1,,5339,9,
1797,condition 1,0,100,,10658,0,
1797,condition 1,0,100,,5205,0,
1797,condition 1,0,100,,4541,8,
1797,condition 1,0,100,,14381,16,
1797,condition 1,0,100,,3471,11,
1797,condition 1,0,100,,6090,3,
1797,condition 1,0,100,,3615,1,
1797,condition 1,0,0,,23910,9,
1797,condition 1,0,100,,3758,7,
1797,condition 1,0,100,,4462,4,
1797,condition 1,0,100,,4439,14,
1797,condition 1,0,0,,4495,5,
1797,condition 1,0,100,,3759,2,
1797,condition 1,0,0,,4318,10,
1797,condition 1,0,0,,4150,6,
1797,condition 1,0,100,,4710,12,
1797,condition 1,0,100,,3782,13,
1797,condition 1,0,100,,3078,15,
1745,condition 1,22,92,,12415,0,
1745,condition 1,11,98,,12573,0,
1745,condition 1,18,85,,10460,3,
1745,condition 1,10,98,,7219,11,
1745,condition 1,33,53,,4149,5,
1745,condition 1,22,67,,8233,15,
1745,condition 1,12,85,,5851,1,
1745,condition 1,11,7,,7186,10,
1745,condition 1,15,72,,5258,13,
1745,condition 1,11,12,,5142,6,
1745,condition 1,9,7,,4451,9,
1745,condition 1,23,81,,5338,14,
1745,condition 1,18,79,,5597,4,
1745,condition 1,68,27,,16614,8,
1745,condition 1,15,78,,5713,16,
1745,condition 1,78,23,,9623,7,
1745,condition 1,31,66,,6776,12,
1745,condition 1,19,80,,5148,2,
1751,condition 1,100,99,,22403,0,
1751,condition 1,0,100,,20472,0,
1751,condition 1,0,100,,7563,0,
1751,condition 1,49,100,,6880,0,
1751,condition 1,49,100,,7133,0,
1751,condition 1,0,100,,36370,8,
1751,condition 1,0,100,,7841,3,
1751,condition 1,100,51,,15321,15,
1751,condition 1,0,99,,26881,12,
1751,condition 1,100,1,,29728,4,
1751,condition 1,99,1,,13840,2,
1751,condition 1,0,1,,15390,9,
1751,condition 1,0,1,,11696,6,
1751,condition 1,100,49,,13102,16,
1751,condition 1,100,0,,29422,1,
1751,condition 1,0,50,,11591,10,
1751,condition 1,99,0,,4815,13,
1751,condition 1,0,0,,5596,5,
1751,condition 1,99,0,,5176,14,
1751,condition 1,0,100,,24327,11,
1751,condition 1,0,100,,5627,7,
1762,condition 1,21,88,,7934,0,
1762,condition 1,16,78,,5994,0,
1762,condition 1,91,29,,3553,0,
1762,condition 1,75,22,,3623,0,
1762,condition 1,65,33,,8550,1,
1762,condition 1,0,100,,4440,12,
1762,condition 1,0,100,,4589,7,
1762,condition 1,0,100,,4423,11,
1762,condition 1,36,78,,5655,2,
1762,condition 1,73,27,,5490,3,
1762,condition 1,63,46,,5953,16,
1762,condition 1,51,62,,4101,14,
1762,condition 1,77,51,,7006,15,
1762,condition 1,0,60,,5226,10,
1762,condition 1,0,49,,3896,5,
1762,condition 1,0,47,,3380,9,
1762,condition 1,0,70,,4675,6,
1762,condition 1,0,100,,3331,8,
1762,condition 1,100,0,,5873,4,
1762,condition 1,100,19,,4368,13,
1791,condition 1,5,99,,13620,0,
1791,condition 1,3,100,,7818,3,
1791,condition 1,0,0,,7788,6,
1791,condition 1,0,22,,18363,4,
1791,condition 1,0,100,,11326,11,
1791,condition 1,0,0,,6239,10,
1791,condition 1,0,5,,12244,12,
1791,condition 1,0,8,,11932,5,
1791,condition 1,0,29,,7783,16,
1791,condition 1,0,100,,6638,2,
1791,condition 1,0,99,,8383,15,
1791,condition 1,0,100,,7419,1,
1791,condition 1,0,91,,8885,8,
1791,condition 1,0,100,,6201,13,
1791,condition 1,0,100,,6377,7,
1791,condition 1,0,100,,7309,14,
1791,condition 1,0,0,,7058,9,
1767,condition 1,55,51,,13735,0,
1767,condition 1,56,52,,5706,0,
1767,condition 1,53,50,,5361,0,
1767,condition 1,0,0,,6363,6,
1767,condition 1,0,86,,8722,2,
1767,condition 1,12,85,,7653,7,
1767,condition 1,80,71,,7303,14,
1767,condition 1,0,0,,4159,10,
1767,condition 1,6,80,,6297,4,
1767,condition 1,26,66,,4967,16,
1767,condition 1,0,0,,3921,9,
1767,condition 1,0,93,,5568,11,
1767,condition 1,0,66,,5534,8,
1767,condition 1,0,0,,3936,5,
1767,condition 1,0,84,,5981,12,
1767,condition 1,30,92,,5004,13,
1767,condition 1,67,74,,6170,15,
1767,condition 1,50,73,,6002,3,
1767,condition 1,72,67,,5431,1,
1805,condition 1,67,24,,4254,0,
1805,condition 1,9,95,,4293,9,
1805,condition 1,6,92,,3385,12,
1805,condition 1,44,45,,3802,15,
1805,condition 1,75,44,,3610,14,
1805,condition 1,21,92,,2787,6,
1805,condition 1,83,50,,3772,4,
1805,condition 1,89,55,,3337,1,
1805,condition 1,33,29,,3201,7,
1805,condition 1,71,28,,3234,2,
1805,condition 1,6,76,,3364,5,
1805,condition 1,47,71,,3361,8,
1805,condition 1,68,55,,3605,11,
1805,condition 1,78,25,,2596,16,
1805,condition 1,68,28,,2549,13,
1805,condition 1,78,31,,2953,3,
1805,condition 1,22,80,,3639,10,
