trial,tau_scaler,theta_scaler,prob_succ_no_ai,prob_succ_other_decision,ai_count,human_count,prob_other_decision
1,2.0,6.0,1.0,0.9966666666666667,21,0,0.37754066879814546
1,0.6,7.0,0.16333333333333333,0.14333333333333334,21,0,0.3854055017324505
1,0.8,7.0,0.37,0.35333333333333333,21,0,0.3015347839974612
1,1.0,7.0,0.6466666666666666,0.58,21,0,0.27754607985646673
1,1.2,7.0,0.84,0.7666666666666667,21,0,0.2728917836588705
1,1.4,7.0,0.95,0.9,21,0,0.3215480508579819
1,1.6,7.0,0.99,0.96,21,0,0.3528199507665028
1,1.8,7.0,1.0,0.9733333333333334,21,0,0.35816595491126885
1,2.0,7.0,1.0,0.9966666666666667,21,0,0.35816595491126885
1,0.6,8.0,0.16333333333333333,0.14333333333333334,21,0,0.3697397770822487
1,0.8,8.0,0.37,0.35333333333333333,21,0,0.27687819487561016
1,1.0,8.0,0.6466666666666666,0.58,21,0,0.250991109829767
1,1.2,8.0,0.84,0.7666666666666667,21,0,0.24601128355105192
1,1.4,8.0,0.95,0.9,21,0,0.2987340826061377
1,1.6,8.0,0.99,0.96,21,0,0.33329196733387695
1,1.8,8.0,1.0,0.9733333333333334,21,0,0.3392436312341828
1,2.0,8.0,1.0,0.9966666666666667,21,0,0.3392436312341828
2,0.6,1.0,0.0,0.0,21,0,0.48916836156445265
2,0.8,1.0,0.0,0.0,21,0,0.48333950343058857
2,1.0,1.0,0.0,0.0,21,0,0.47751517520819986
2,1.2,1.0,0.0,0.0,21,0,0.4700359482354282
2,1.4,1.0,0.0,0.0,21,0,0.47335858854951607
2,1.6,1.0,0.0,0.0,21,0,0.474189629030992
2,1.8,1.0,0.0,0.0,21,0,0.4783468848830998
2,2.0,1.0,0.0,0.0,21,0,0.4825071423336103
2,0.6,2.0,0.0,0.0,21,0,0.47834688488309984
2,0.8,2.0,0.0,0.0,21,0,0.46671596174886876
2,1.0,2.0,0.0,0.0,21,0,0.45512110762641994
2,1.2,2.0,0.0,0.0,21,0,0.44028635073280703
2,1.4,2.0,0.0,0.0,21,0,0.44686802193104874
2,1.6,2.0,0.0,0.0,21,0,0.4485164463388175
2,1.8,2.0,0.0,0.0,21,0,0.4567748355181423
2,2.0,2.0,0.0,0.0,21,0,0.46505705484178544
2,0.6,3.0,0.0,0.0,21,0,0.4675456936126812
2,0.8,3.0,0.0,0.0,21,0,0.45016600268752216
2,1.0,3.0,0.0,0.0,21,0,0.4329070950345456
2,1.2,3.0,0.0,0.0,21,0,0.4109595659413349
2,1.4,3.0,0.0,0.0,21,0,0.42067574785125045
2,1.6,3.0,0.0,0.0,21,0,0.42311473886795375
2,1.8,3.0,0.0,0.0,21,0,0.4353637081969708
2,2.0,3.0,0.0,0.0,21,0,0.4476920904256747
2,0.6,4.0,0.0,0.0,21,0,0.4567748355181423
2,0.8,4.0,0.0,0.0,21,0,0.4337256058045608
2,1.0,4.0,0.0,0.0,21,0,0.4109595659413348
2,1.2,4.0,0.0,0.0,21,0,0.382252125230751
2,1.4,4.0,0.0,0.0,21,0,0.39492258105826245
2,1.6,4.0,0.0,0.0,21,0,0.3981131203199435
2,1.8,4.0,0.0,0.0,21,0,0.4141909784350151
2,2.0,4.0,0.0,0.0,21,0,0.43045377606077095
